Last updated 2009-02-05 18:12|This line just here for the date - Remove if you want!|
Nintendo Wii|NINTENDO|
Playstation 3|PLAYSTATION3|
Windows 7|WindowsNT7.0|
Windows Vista|WindowsNT6.0|
Windows XP|WindowsNT5.1|
Windows XP|WindowsXP|
Windows Server 2003|WindowsNT5.2|
Windows 2000|Windows2000|
Windows 2000|WindowsNT5.0|
Windows ME|WindowsME|
Windows ME|Win9x4.90|
Windows 98|Windows98|
Windows 98|Win98|
Windows 95|Windows95|
Windows 95|Win95|
Windows NT 4|WindowsNT4|
Windows NT 4|WinNT|
Windows NT 4|WindowsNT|
Windows 3.1|Win3.1|
Windows CE|WindowsCE|
Windows CE|WinCE|
Windows|Win32|
Sun Solaris|SunOS|
Sun Solaris|Solaris|
iPhone|iPhone|
iPod|iPod|
Mac OS X|MacOSX|
Mac|Mac|
Adobe AIR|AdobeAIR|
FreeBSD|FreeBSD|
OpenBSD|OpenBSD|
Debian Linux|Debian|
Ubuntu Linux|Ubuntu|
Suse Linux|Suse|
Suse Linux|SUSE|
Linux|Linux|
Linux|linux|
WebTV|WebTV|
Amiga|Amiga|
Symbian|Symbian|
Mac OS X|Vienna|
Mac OS X|Ensemble2|
SGI Irix|Irix|
Unix|Unix|
Linux|X11|
BlackBerry|BlackBerry|
